url,last_scraped
https://www.gpw.pl/spolka?isin=PLCELPD00013,2025-06-29 12:28:51.973679
https://www.gpw.pl/spolka?isin=PLCFRPT00013,2025-06-29 12:29:02.584208
https://www.gpw.pl/spolka?isin=PLCLDTC00019,2025-06-29 12:29:20.277399
https://www.gpw.pl/spolka?isin=PLCLNPH00015,2025-06-29 12:29:33.706862
https://www.gpw.pl/spolka?isin=PLCMP0000017,2025-06-29 12:29:44.165439
https://www.gpw.pl/spolka?isin=PLCMPLD00016,2025-06-29 12:29:56.844672
https://www.gpw.pl/spolka?isin=PLCMRAY00029,2025-06-29 12:30:11.947095
https://www.gpw.pl/spolka?isin=PLCNTSL00014,2025-06-29 12:30:23.936343
https://www.gpw.pl/spolka?isin=PLCOMPR00010,2025-06-29 12:30:36.317604
https://www.gpw.pl/spolka?isin=PLCPTLP00015,2025-06-29 12:30:47.484585
https://www.gpw.pl/spolka?isin=PLCPTRT00014,2025-06-29 12:31:05.127639
https://www.gpw.pl/spolka?isin=PLCRPJR00019,2025-06-29 12:31:22.740410
https://www.gpw.pl/spolka?isin=PLCRTCH00017,2025-06-29 12:31:33.431915
https://www.gpw.pl/spolka?isin=PLCRWTR00022,2025-06-29 12:31:43.882772
https://www.gpw.pl/spolka?isin=PLCSPAM00017,2025-06-29 12:32:01.429164
https://www.gpw.pl/spolka?isin=PLCTINT00018,2025-06-29 12:32:13.838267
https://www.gpw.pl/spolka?isin=PLCVTNH00040,2025-06-29 12:32:25.074134
https://www.gpw.pl/spolka?isin=PLDADEL00013,2025-06-29 12:32:36.453050
https://www.gpw.pl/spolka?isin=PLDBENR00017,2025-06-29 12:32:47.303575
https://www.gpw.pl/spolka?isin=PLDEBCA00016,2025-06-29 12:33:04.083466
https://www.gpw.pl/spolka?isin=PLDECOR00013,2025-06-29 12:33:20.957397
https://www.gpw.pl/spolka?isin=PLDEKPL00032,2025-06-29 12:33:35.674148
https://www.gpw.pl/spolka?isin=PLDELKO00019,2025-06-29 12:33:52.103395
https://www.gpw.pl/spolka?isin=PLDGA0000019,2025-06-29 12:34:06.628336
https://www.gpw.pl/spolka?isin=PLDGNST00012,2025-06-29 12:34:24.378254
https://www.gpw.pl/spolka?isin=PLDINPL00011,2025-06-29 12:34:34.956590
https://www.gpw.pl/spolka?isin=PLDMDVL00012,2025-06-29 12:34:47.307991
https://www.gpw.pl/spolka?isin=PLDRG0000013,2025-06-29 12:35:05.013418
https://www.gpw.pl/spolka?isin=PLDUDA000016,2025-06-29 12:35:20.258535
https://www.gpw.pl/spolka?isin=PLECBDZ00013,2025-06-29 12:35:37.073019
https://www.gpw.pl/spolka?isin=PLECHPS00019,2025-06-29 12:35:50.213537
https://www.gpw.pl/spolka?isin=PLECMNG00019,2025-06-29 12:36:01.980573
https://www.gpw.pl/spolka?isin=PLEDINV00014,2025-06-29 12:36:19.552564
https://www.gpw.pl/spolka?isin=PLEFEKT00018,2025-06-29 12:36:29.906883
https://www.gpw.pl/spolka?isin=PLEKEP000019,2025-06-29 12:36:40.204615
https://www.gpw.pl/spolka?isin=PLELEKT00016,2025-06-29 12:36:56.344022
https://www.gpw.pl/spolka?isin=PLELPO000016,2025-06-29 12:37:10.724795
https://www.gpw.pl/spolka?isin=PLEMCIM00017,2025-06-29 12:37:27.693267
https://www.gpw.pl/spolka?isin=PLENAP000010,2025-06-29 12:37:38.127939
https://www.gpw.pl/spolka?isin=PLENEA000013,2025-06-29 12:37:50.019206
https://www.gpw.pl/spolka?isin=PLENERG00022,2025-06-29 12:38:02.953529
https://www.gpw.pl/spolka?isin=PLENLMD00017,2025-06-29 12:38:19.493523
https://www.gpw.pl/spolka?isin=PLENTER00017,2025-06-29 12:38:29.895061
https://www.gpw.pl/spolka?isin=PLERBUD00012,2025-06-29 12:38:41.415697
https://www.gpw.pl/spolka?isin=PLERGIN00015,2025-06-29 12:38:56.782343
https://www.gpw.pl/spolka?isin=PLERGZB00014,2025-06-29 12:39:07.672294
https://www.gpw.pl/spolka?isin=PLERPCO00017,2025-06-29 12:39:25.139832
https://www.gpw.pl/spolka?isin=PLERTEL00011,2025-06-29 12:39:41.992991
https://www.gpw.pl/spolka?isin=PLESTHN00018,2025-06-29 12:39:55.950227
https://www.gpw.pl/spolka?isin=PLEURCH00011,2025-06-29 12:40:09.498473
https://www.gpw.pl/spolka?isin=PLFAMUR00012,2025-06-29 12:40:23.149644
https://www.gpw.pl/spolka?isin=PLFEERM00018,2025-06-29 12:40:38.781281
https://www.gpw.pl/spolka?isin=PLFERRO00016,2025-06-29 12:40:52.382024
https://www.gpw.pl/spolka?isin=PLFORTE00012,2025-06-29 12:41:06.232634
https://www.gpw.pl/spolka?isin=PLFSING00010,2025-06-29 12:41:22.947090
https://www.gpw.pl/spolka?isin=PLFSTFC00012,2025-06-29 12:41:33.963870
https://www.gpw.pl/spolka?isin=PLGLBLC00011,2025-06-29 12:41:47.873943
https://www.gpw.pl/spolka?isin=PLGMNGF00017,2025-06-29 12:41:59.619852
https://www.gpw.pl/spolka?isin=PLGMSOP00019,2025-06-29 12:42:17.240892
https://www.gpw.pl/spolka?isin=PLGNMTC00017,2025-06-29 12:42:27.690615
https://www.gpw.pl/spolka?isin=PLGPW0000017,2025-06-29 12:42:38.750562
https://www.gpw.pl/spolka?isin=PLGRNKT00019,2025-06-29 12:42:51.212549
https://www.gpw.pl/spolka?isin=PLGRODN00015,2025-06-29 12:43:05.417588
https://www.gpw.pl/spolka?isin=PLGRPRC00015,2025-06-29 12:43:22.424717
https://www.gpw.pl/spolka?isin=PLGSPR000014,2025-06-29 12:43:34.616351
https://www.gpw.pl/spolka?isin=PLGTBCK00297,2025-06-29 12:43:45.358027
https://www.gpw.pl/spolka?isin=PLGTC0000037,2025-06-29 12:43:58.172066
https://www.gpw.pl/spolka?isin=PLHDRTR00013,2025-06-29 12:44:12.395784
https://www.gpw.pl/spolka?isin=PLHELIO00014,2025-06-29 12:44:27.567956
https://www.gpw.pl/spolka?isin=PLHOGA000041,2025-06-29 12:44:43.482714
https://www.gpw.pl/spolka?isin=PLHRDEX00021,2025-06-29 12:44:54.549770
https://www.gpw.pl/spolka?isin=PLHRPHG00023,2025-06-29 12:45:07.643009
https://www.gpw.pl/spolka?isin=PLIDMSA00044,2025-06-29 12:45:21.559294
https://www.gpw.pl/spolka?isin=PLINCLT00015,2025-06-29 12:45:33.108122
https://www.gpw.pl/spolka?isin=PLINPRO00015,2025-06-29 12:45:50.190084
https://www.gpw.pl/spolka?isin=PLINSTK00013,2025-06-29 12:46:07.183646
https://www.gpw.pl/spolka?isin=PLINTBD00014,2025-06-29 12:46:19.345540
https://www.gpw.pl/spolka?isin=PLINTCS00010,2025-06-29 12:46:33.365006
https://www.gpw.pl/spolka?isin=PLINTGR00013,2025-06-29 12:46:46.139834
https://www.gpw.pl/spolka?isin=PLINTKS00013,2025-06-29 12:46:56.593256
https://www.gpw.pl/spolka?isin=PLINTMS00019,2025-06-29 12:47:07.445728
https://www.gpw.pl/spolka?isin=PLINTRL00013,2025-06-29 12:47:24.340200
https://www.gpw.pl/spolka?isin=PLINTSP00038,2025-06-29 12:47:37.546271
https://www.gpw.pl/spolka?isin=PLIPOPM00011,2025-06-29 12:47:48.563743
https://www.gpw.pl/spolka?isin=PLIQPRT00017,2025-06-29 12:48:01.765938
https://www.gpw.pl/spolka?isin=PLIZBLK00010,2025-06-29 12:48:12.061340
https://www.gpw.pl/spolka?isin=PLIZCJR00017,2025-06-29 12:48:28.929907
https://www.gpw.pl/spolka?isin=PLIZSTL00015,2025-06-29 12:48:45.560113
https://www.gpw.pl/spolka?isin=PLJRINV00013,2025-06-29 12:48:56.117053
https://www.gpw.pl/spolka?isin=PLJSW0000015,2025-06-29 12:49:07.433428
https://www.gpw.pl/spolka?isin=PLJWWNT00018,2025-06-29 12:49:23.729245
https://www.gpw.pl/spolka?isin=PLK2ITR00010,2025-06-29 12:49:37.340169
https://www.gpw.pl/spolka?isin=PLKAREN00014,2025-06-29 12:49:47.692840
