company_url,metric,value
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Wskaźnik płynności bieżącej,"0,11"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Wskaźnik płynności szybkiej,"0,10"
https://www.gpw.pl//spolka?isin=PLAIRWY00017,Wskaźnik obsługi zadłużenia,"-0,97"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przychody ze sprzedaży,"21 465,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zysk/strata ze sprzedaży,"-19 686,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Pozostałe przychody operacyjne,"1 274,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zysk/strata z działalności operacyjnej,"-33 310,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przychody finansowe,"6 982,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zysk/strata brutto,"-38 684,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,zysk/strata netto udziałowców jednostki dominującej,"-32 220,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Amortyzacja (noty),"2 138,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,AKTYWA,"3 124 139,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Aktywa trwałe,"833 947,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Aktywa obrotowe,"2 290 192,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Kapitał własny udziałowców podmiotu dominującego,"1 223 300,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Kapitał podstawowy,"584 960,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zobowiązania długoterminowe,"857 797,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Zobowiązania krótkoterminowe,"1 043 042,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przepływy operacyjne,"-157 918,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przepływy inwestycyjne,"-2 021,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,"-1 697,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przepływy finansowe,"116 208,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Przepływy pieniężne netto,"-43 731,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,EBITDA,"-31 172,00"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Stopa zwrotu z kapitału własnego (ROE),"0,01"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Stopa zwrotu z aktywów (ROA),"0,01"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Wskaźnik płynności bieżącej,"2,20"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Wskaźnik płynności szybkiej,"0,29"
https://www.gpw.pl//spolka?isin=PLARHCM00016,Wskaźnik obsługi zadłużenia,"1,49"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Przychody ze sprzedaży,"883,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Zysk/strata ze sprzedaży,"-11,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Zysk/strata z działalności operacyjnej,"-11,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Przychody finansowe,"3,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Zysk/strata brutto,"-10,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,zysk/strata netto udziałowców jednostki dominującej,"-10,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,AKTYWA,"18 579,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Aktywa trwałe,"15 602,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Aktywa obrotowe,"2 977,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Kapitał własny udziałowców podmiotu dominującego,"18 018,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Kapitał podstawowy,"7 924,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Zobowiązania krótkoterminowe,"561,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Przepływy operacyjne,"-370,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Przepływy pieniężne netto,"-370,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,EBITDA,"-11,00"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Stopa zwrotu z kapitału własnego (ROE),"-0,04"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Stopa zwrotu z aktywów (ROA),"-0,04"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Wskaźnik płynności bieżącej,"5,31"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Wskaźnik płynności szybkiej,"1,82"
https://www.gpw.pl//spolka?isin=PLGRNKT00019,Wskaźnik obsługi zadłużenia,"-246,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Przychody ze sprzedaży,"46,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Zysk/strata ze sprzedaży,"-1 054,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Pozostałe przychody operacyjne,"46,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Zysk/strata z działalności operacyjnej,"-1 008,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Przychody finansowe,"4,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Zysk/strata brutto,"-1 076,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,zysk/strata netto udziałowców jednostki dominującej,"-753,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Amortyzacja (noty),"56,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,AKTYWA,"11 846,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Aktywa trwałe,"959,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Aktywa obrotowe,"10 887,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Kapitał własny udziałowców podmiotu dominującego,"6 959,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Kapitał podstawowy,"7 360,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Zobowiązania długoterminowe,"634,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Zobowiązania krótkoterminowe,"4 252,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Przepływy operacyjne,"-32,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Przepływy finansowe,"0,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Przepływy pieniężne netto,"-32,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,EBITDA,"-952,00"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Stopa zwrotu z kapitału własnego (ROE),"-0,81"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Stopa zwrotu z aktywów (ROA),"-0,45"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Wskaźnik płynności bieżącej,"2,56"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Wskaźnik płynności szybkiej,"2,56"
https://www.gpw.pl//spolka?isin=PLIQPRT00017,Wskaźnik obsługi zadłużenia,"-7,03"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Przychody ze sprzedaży,"88 769,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Zysk/strata ze sprzedaży,"-7 477,00"
https://www.gpw.pl//spolka?isin=PLKPPD000017,Pozostałe przychody operacyjne,"919,00"
