company_url,shareholder,shares_count,shares_pct,votes_count,votes_pct
https://www.gpw.pl/spolka?isin=PLMKRNP00015,Praska Giełda Spożywcza. p. Zenon Daniłowski. Polskie Smaki Sp. z o.o.,3 641 594,"32,99",3 641 594,"32,99"
https://www.gpw.pl/spolka?isin=PLMKRNP00015,Raya Holding for Technology & Communications S.A.E.. Madova Sp. z o.o.,3 254 706,"29,48",3 254 706,"29,48"
https://www.gpw.pl/spolka?isin=PLMKRNP00015,Fundacja Rodzinna Słomkowscy w organizacji,1 169 750,"10,60",1 169 750,"10,60"
https://www.gpw.pl/spolka?isin=PLMLPGR00017,Cajamarca Holland B.V.,10 242 726,"42,69",10 242 726,"42,69"
https://www.gpw.pl/spolka?isin=PLMLPGR00017,Land Development of Nimrodi Group Ltd.,3 016 229,"12,57",3 016 229,"12,57"
https://www.gpw.pl/spolka?isin=PLMLPGR00017,Thesinger Limited,1 771 320,"7,38",1 771 320,"7,38"
https://www.gpw.pl/spolka?isin=PLMLPGR00017,Powszechne Towarzystwo Emerytalne Allianz Polska S.A.,1 713 881,"7,14",1 713 881,"7,14"
https://www.gpw.pl/spolka?isin=PLMLPGR00017,Generali Powszechne Towarzystwo Emerytalne SA,1 591 360,"6,63",1 591 360,"6,63"
https://www.gpw.pl/spolka?isin=PLMLSTM00015,Dawid Cycoń,2 017 139,"27,33",3 017 139,"32,16"
https://www.gpw.pl/spolka?isin=PLMLSTM00015,Edyta Stanek,2 000 000,"27,10",3 000 000,"31,98"
https://www.gpw.pl/spolka?isin=PLMNNCP00011,Zbigniew Jakubas *,17 873 256,"34,99",17 873 256,"34,99"
https://www.gpw.pl/spolka?isin=PLMNNCP00011,Ewa Orłowska Jakubas,7 669 603,"15,01",7 669 603,"15,01"
https://www.gpw.pl/spolka?isin=PLMNNCP00011,Generali Powszechne Towarzystwo Emerytalne SA,5 415 041,"10,60",5 415 041,"10,60"
https://www.gpw.pl/spolka?isin=PLMNNCP00011,NATIONALE-NEDERLANDEN Powszechne Towarzystwo Emerytalne S.A.,3 830 000,"7,50",3 830 000,"7,50"
https://www.gpw.pl/spolka?isin=PLMNNCP00011,Powszechne Towarzystwo Emerytalne PZU S.A.,3 538 420,"6,93",3 538 420,"6,93"
https://www.gpw.pl/spolka?isin=PLMNNCP00011,Joanna Jakubas,2 959 000,"5,79",2 959 000,"5,79"
https://www.gpw.pl/spolka?isin=PLMNNCP00011,Mennica Polska Spółka Akcyjna,89 001,"0,17",89 001,"0,17"
https://www.gpw.pl/spolka?isin=PLMNRTR00012,Mirosław Misztal *,10 494 468,"34,34",12 074 468,"34,36"
