company_url,last_day_with_right,operation_type,parameter
https://www.gpw.pl/spolka?isin=PLAB00000019,2022-12-27,Dywidenda,1.2500
https://www.gpw.pl/spolka?isin=PLAB00000019,2021-12-06,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLAB00000019,2020-12-28,Dywidenda,0.4400
https://www.gpw.pl/spolka?isin=PLABS0000018,2025-05-20,Dywidenda,3.3000
https://www.gpw.pl/spolka?isin=PLABS0000018,2024-07-03,Dywidenda,2.6000
https://www.gpw.pl/spolka?isin=PLABS0000018,2023-06-06,Dywidenda,2.3000
https://www.gpw.pl/spolka?isin=PLABS0000018,2022-06-08,Dywidenda,2.1200
https://www.gpw.pl/spolka?isin=PLABS0000018,2021-06-16,Dywidenda,2.0000
https://www.gpw.pl/spolka?isin=PLACSA000014,2024-05-23,Dywidenda,3.0000
https://www.gpw.pl/spolka?isin=PLACSA000014,2022-06-13,Dywidenda,2.0000
https://www.gpw.pl/spolka?isin=PLACSA000014,2021-05-28,Dywidenda,2.2000
https://www.gpw.pl/spolka?isin=PLACSA000014,2020-09-11,Dywidenda,1.8500
https://www.gpw.pl/spolka?isin=PLACSA000014,2019-06-13,Dywidenda,3.9400
https://www.gpw.pl/spolka?isin=PLACTIN00018,2016-09-16,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLACTIN00018,2015-06-16,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLACTIN00018,2014-08-18,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLACTIN00018,2013-06-13,Dywidenda,1.5000
https://www.gpw.pl/spolka?isin=PLACTIN00018,2012-05-14,Dywidenda,0.8400
https://www.gpw.pl/spolka?isin=PLADDRG00015,2017-03-16,Prawo poboru,10.00 : 19.00
https://www.gpw.pl/spolka?isin=PLADDRG00015,2016-11-03,Prawo poboru,1.00 : 15.00
https://www.gpw.pl/spolka?isin=PLADDRG00015,2010-09-10,Prawo poboru,1.00 : 2.50
https://www.gpw.pl/spolka?isin=PLADDRG00015,2009-09-10,Prawo poboru,1.00 : 5.00
https://www.gpw.pl/spolka?isin=PLAGORA00067,2019-07-10,Dywidenda,0.5000
https://www.gpw.pl/spolka?isin=PLAGORA00067,2018-07-11,Dywidenda,0.5000
https://www.gpw.pl/spolka?isin=PLAGORA00067,2016-07-12,Dywidenda,0.7500
https://www.gpw.pl/spolka?isin=PLAGORA00067,2012-07-11,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLAGORA00067,2011-07-12,Dywidenda,0.5000
https://www.gpw.pl/spolka?isin=PLALIOR00045,2025-06-26,Dywidenda,9.1900
https://www.gpw.pl/spolka?isin=PLALIOR00045,2024-05-08,Dywidenda,4.4200
https://www.gpw.pl/spolka?isin=PLALIOR00045,2016-05-19,Prawo poboru,1.00 : 0.78
https://www.gpw.pl/spolka?isin=PLAMBRA00013,2024-10-28,Dywidenda,1.1000
https://www.gpw.pl/spolka?isin=PLAMBRA00013,2023-10-31,Dywidenda,1.1000
https://www.gpw.pl/spolka?isin=PLAMBRA00013,2022-10-31,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLAMBRA00013,2021-10-29,Dywidenda,0.9500
https://www.gpw.pl/spolka?isin=PLAMBRA00013,2020-10-23,Dywidenda,0.7000
https://www.gpw.pl/spolka?isin=PLAMICA00010,2025-06-16,Dywidenda,2.0000
https://www.gpw.pl/spolka?isin=PLAMICA00010,2024-06-14,Dywidenda,2.5000
https://www.gpw.pl/spolka?isin=PLAMICA00010,2022-07-05,Dywidenda,3.5000
https://www.gpw.pl/spolka?isin=PLAMICA00010,2021-06-18,Dywidenda,6.0000
https://www.gpw.pl/spolka?isin=PLAMICA00010,2020-09-02,Dywidenda,3.0000
https://www.gpw.pl/spolka?isin=PLAMPLI00019,2000-06-15,Dywidenda,0.0000
https://www.gpw.pl/spolka?isin=PLAMPLI00019,1997-03-06,Dywidenda,0.3854
https://www.gpw.pl/spolka?isin=PLAPATR00018,2024-07-02,Dywidenda,0.3000
https://www.gpw.pl/spolka?isin=PLAPATR00018,2023-07-28,Dywidenda,0.3000
https://www.gpw.pl/spolka?isin=PLAPATR00018,2022-07-04,Dywidenda,0.2000
https://www.gpw.pl/spolka?isin=PLAPATR00018,2021-08-05,Dywidenda,0.7500
https://www.gpw.pl/spolka?isin=PLAPATR00018,2020-08-13,Dywidenda,0.6500
https://www.gpw.pl/spolka?isin=PLAPLS000016,2024-07-08,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLAPLS000016,2023-07-05,Dywidenda,0.8000
https://www.gpw.pl/spolka?isin=PLAPLS000016,2022-07-05,Dywidenda,0.6000
https://www.gpw.pl/spolka?isin=PLAPLS000016,2021-07-27,Dywidenda,0.4500
https://www.gpw.pl/spolka?isin=PLAPLS000016,2020-07-21,Dywidenda,0.2500
https://www.gpw.pl/spolka?isin=PLAPSEN00011,2022-06-13,Dywidenda,0.0300
https://www.gpw.pl/spolka?isin=PLAPSEN00011,2020-05-13,Dywidenda,0.0500
https://www.gpw.pl/spolka?isin=PLAPSEN00011,2019-05-08,Dywidenda,0.0900
https://www.gpw.pl/spolka?isin=PLAPSEN00011,2017-06-13,Dywidenda,0.0200
https://www.gpw.pl/spolka?isin=PLAPSEN00011,2016-07-13,Dywidenda,0.0200
https://www.gpw.pl/spolka?isin=PLARHCM00016,2024-07-09,Dywidenda,0.6400
https://www.gpw.pl/spolka?isin=PLARHCM00016,2023-07-12,Dywidenda,2.1200
https://www.gpw.pl/spolka?isin=PLARHCM00016,2022-07-12,Dywidenda,0.1400
https://www.gpw.pl/spolka?isin=PLARHCM00016,2021-07-08,Dywidenda,1.1800
https://www.gpw.pl/spolka?isin=PLARHCM00016,2019-06-27,Dywidenda,1.1500
https://www.gpw.pl/spolka?isin=PLARIEL00046,2008-01-17,Prawo poboru,3.00 : 1.00
https://www.gpw.pl/spolka?isin=PLARIEL00046,2000-05-17,Prawo poboru,2.00 : 3.00
https://www.gpw.pl/spolka?isin=PLARIEL00046,2000-05-11,Dywidenda,0.0000
https://www.gpw.pl/spolka?isin=PLARIEL00046,1997-05-13,Dywidenda,0.0000
https://www.gpw.pl/spolka?isin=PLARTPR00012,2024-06-10,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLARTPR00012,2023-06-13,Dywidenda,2.7000
https://www.gpw.pl/spolka?isin=PLARTPR00012,2022-06-28,Dywidenda,0.4000
https://www.gpw.pl/spolka?isin=PLARTPR00012,2021-06-29,Dywidenda,0.3000
https://www.gpw.pl/spolka?isin=PLARTPR00012,2018-06-18,Dywidenda,0.2000
https://www.gpw.pl/spolka?isin=PLASMGR00014,2017-06-28,Dywidenda,0.0600
https://www.gpw.pl/spolka?isin=PLASMOT00030,2007-03-20,Prawo poboru,1.00
https://www.gpw.pl/spolka?isin=PLASMOT00030,2000-06-29,Dywidenda,0.0000
https://www.gpw.pl/spolka?isin=PLASMOT00030,1997-12-26,Dywidenda,1.2800
https://www.gpw.pl/spolka?isin=PLASSEE00014,2024-06-11,Dywidenda,1.6500
https://www.gpw.pl/spolka?isin=PLASSEE00014,2023-06-28,Dywidenda,1.4600
https://www.gpw.pl/spolka?isin=PLASSEE00014,2022-06-27,Dywidenda,1.2800
https://www.gpw.pl/spolka?isin=PLASSEE00014,2021-06-22,Dywidenda,1.0000
https://www.gpw.pl/spolka?isin=PLASSEE00014,2020-06-23,Dywidenda,0.7400
